Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
811,i frankenstein,2014,pg-13,horror,stuart beattie,3.5,72.32
812,step up 2 the streets,2008,pg-13,drama,jon m. chu,5.175,72.32
813,duplicity,2009,pg-13,crime,tony gilroy,6.35,72.32
814,the thomas crown affair,1999,r,romance,john mctiernan,6.925000000000001,72.31
815,ford v ferrari,2019,pg-13,action,james mangold,8.35,72.31
816,the hitchhikers guide to the galaxy,2005,pg,science fiction,garth jennings,6.425,72.3
817,crazy stupid love,2011,pg-13,romance,"glenn ficarra, john requa",7.35,72.3
818,riddick,2013,r,science fiction,david twohy,5.85,72.3
819,ghost rider,2007,pg-13,action,mark steven johnson,4.3,72.3
820,superman ii,1980,pg,science fiction,"richard lester, richard donner",7.525,72.28999999999999
821,whitney houston i wanna dance with somebody,2022,pg-13,music,kasi lemmons,5.775,72.28999999999999
822,end of days,1999,r,fantasy,peter hyams,4.074999999999999,72.28999999999999
823,flyboys,2006,pg-13,war,tony bill,5.3,72.28999999999999
824,iron man 3,2013,pg-13,science fiction,shane black,7.025,72.28999999999999
825,anacondas the hunt for the blood orchid,2004,pg-13,horror,dwight h. little,4.2,72.28
826,u 571,2000,pg-13,war,jonathan mostow,6.525,72.27
827,chicken little,2005,g,comedy,mark dindal,5.025,72.27
828,ronin,1998,r,crime,john frankenheimer,6.975,72.26
829,the empire strikes back,1980,pg,action,irvin kershner,8.7,72.26
830,the lucky one,2012,pg-13,romance,scott hicks,4.875,72.25
831,what dreams may come,1998,pg-13,romance,vincent ward,5.95,72.25
832,a dogs purpose,2017,pg,drama,lasse hallström,5.65,72.25
833,transcendence,2014,pg-13,science fiction,wally pfister,4.575,72.24000000000001
834,for your eyes only,1981,pg,thriller,john glen,6.375,72.24000000000001
835,erin brockovich,2000,r,drama,steven soderbergh,7.65,72.24000000000001
836,grumpier old men,1995,pg-13,romance,howard deutch,4.975,72.24000000000001
837,fifty shades darker,2017,r,drama,james foley,3.875,72.24000000000001
838,the last legion,2007,pg-13,war,doug lefler,4.05,72.23
839,clash of the titans,2010,pg-13,action,louis leterrier,4.575,72.22
840,21 jump street,2012,r,crime,"phil lord, christopher miller",7.375,72.21
841,the international,2009,r,crime,tom tykwer,5.925,72.21
842,star trek generations,1994,pg,thriller,david carson,5.825,72.21
843,jerry maguire,1996,r,drama,cameron crowe,7.625,72.21
844,music and lyrics,2007,pg-13,romance,marc lawrence,6.275,72.21
845,horrible bosses,2011,r,comedy,seth gordon,6.525,72.21
846,pixels,2015,pg-13,science fiction,chris columbus,3.95,72.2
847,black rain,1989,r,thriller,ridley scott,6.05,72.2
848,american made,2017,r,crime,doug liman,7.25,72.19
849,never say never again,1983,pg,thriller,irvin kershner,6.525,72.19
850,onward,2020,pg,fantasy,dan scanlon,7.5,72.19
851,hancock,2008,pg-13,fantasy,peter berg,5.45,72.19
852,joe dirt,2001,pg-13,mystery,dennie gordon,3.625,72.19
853,zombieland double tap,2019,r,horror,ruben fleischer,6.475,72.18
854,crimson peak,2015,r,horror,guillermo del toro,6.75,72.18
