Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1102,godzilla vs kong,2021,pg-13,action,adam wingard,6.85,71.41999999999999
1103,a quiet place,2018,pg-13,science fiction,john krasinski,8.175,71.41999999999999
1104,get on up,2014,pg-13,music,tate taylor,7.2,71.41999999999999
1105,kung fu panda 2,2011,pg,comedy,jennifer yuh nelson,7.3,71.41999999999999
1106,eagle eye,2008,pg-13,thriller,d.j. caruso,5.025,71.41999999999999
1107,act of valor,2012,r,war,"mike mccoy, scott waugh",4.925,71.41999999999999
1108,john wick chapter 4,2023,r,thriller,chad stahelski,8.125,71.39999999999999
1109,madagascar 3 europes most wanted,2012,pg,comedy,"eric darnell, tom mcgrath, conrad vernon",6.8,71.38
1110,munich,2005,r,thriller,steven spielberg,7.45,71.37
1111,the watch,2012,r,science fiction,akiva schaffer,4.125,71.37
1112,sister act 2 back in the habit,1993,pg,music,bill duke,4.45,71.36
1113,soul,2020,pg,fantasy,"pete docter, kemp powers",8.475,71.36
1114,crawl,2019,r,horror,alexandre aja,6.7,71.35000000000001
1115,21,2008,pg-13,drama,robert luketic,5.475,71.34
1116,sinister 2,2015,r,horror,ciarán foy,3.95,71.33
1117,skyfall,2012,pg-13,thriller,sam mendes,8.075,71.33
1118,witness,1985,r,crime,peter weir,7.85,71.32
1119,captain marvel,2019,pg-13,science fiction,"anna boden, ryan fleck",6.975,71.31
1120,heat,1995,r,drama,michael mann,8.025,71.31
1121,sisu,2022,r,war,jalmari helander,7.675000000000001,71.3
1122,the girl with the dragon tattoo,2011,r,mystery,david fincher,7.725,71.3
1123,the red violin,1998,r,music,françois girard,7.0,71.28999999999999
1124,what to expect when youre expecting,2012,pg-13,romance,kirk jones,4.525,71.28999999999999
1125,the day after tomorrow,2004,pg-13,action,roland emmerich,5.55,71.28999999999999
1126,the chronicles of narnia the voyage of the dawn treader,2010,pg,fantasy,michael apted,5.725,71.28999999999999
1127,planet of the apes,2001,pg-13,action,tim burton,5.2,71.28
1128,x men days of future past,2014,pg-13,science fiction,bryan singer,7.975,71.28
1129,midnight in paris,2011,pg-13,romance,woody allen,8.125,71.28
1130,seven pounds,2008,pg-13,drama,gabriele muccino,5.35,71.27
1131,star trek v the final frontier,1989,pg,science fiction,william shatner,4.45,71.26
1132,the ring two,2005,pg-13,thriller,hideo nakata,4.4,71.26
1133,the world is not enough,1999,pg-13,action,michael apted,5.875,71.26
1134,krampus,2015,pg-13,horror,michael dougherty,5.975,71.25
1135,the devils advocate,1997,r,mystery,taylor hackford,6.825,71.25
1136,dunkirk,2017,pg-13,action,christopher nolan,8.475,71.25
1137,ouija,2014,pg-13,horror,stiles white,3.5,71.24000000000001
1138,darkness,2002,pg-13,horror,jaume balagueró,3.25,71.23
1139,mojin the lost legend,2015,pg-13,fantasy,wuershan,5.625,71.22
1140,mary shelleys frankenstein,1994,r,romance,kenneth branagh,5.45,71.21
1141,cocoon,1985,pg-13,science fiction,ron howard,7.0,71.21
1142,red riding hood,2011,pg-13,horror,catherine hardwicke,3.825,71.21
1143,backdraft,1991,r,thriller,ron howard,6.125,71.21
1144,queen of the damned,2002,r,horror,michael rymer,4.025,71.21
1145,identity thief,2013,r,crime,seth gordon,4.275,71.2
1146,a chorus line,1985,pg-13,music,richard attenborough,5.475,71.2
1147,102 dalmatians,2000,g,comedy,kevin lima,4.2,71.19
1148,an officer and a gentleman,1982,r,romance,taylor hackford,7.375,71.19
1149,beyond the sea,2004,pg-13,music,kevin spacey,5.475,71.17999999999999
1150,the broadway melody,1929,nr,music,harry beaumont,5.4,71.15
1151,the holiday,2006,pg-13,romance,nancy meyers,6.1,71.14
1152,toy story 4,2019,g,comedy,josh cooley,8.3,71.14
1153,lethal weapon 4,1998,r,action,richard donner,5.525,71.13000000000001
1154,loving vincent,2017,pg-13,mystery,"dk welchman, hugh welchman",7.6,71.13000000000001
1155,mr six,2015,pg-13,crime,guan hu,6.925000000000001,71.13000000000001
1156,force 10 from navarone,1978,pg,war,guy hamilton,5.875,71.12
